"[min]","41","0","1","1","1","1","41","0","1","1","1","0.5","41","0","1","1","1","1","41","0","1","0","0.08333333333333333","0.2","41","0","1","0","0.3333333333333333","1","41","0","1","1","0.5","0.2","41","0","1","1","0.16666666666666666","1","41","0","1","1","1","1","41","0","0","1","1","0.5","41","0","1","1","0.3333333333333333","0.3333333333333333","41","0","1","1","1","0.5","41","0","1","0","1","0.3333333333333333","41","0","1","0","1","1","41","0","1","1","1","0.3333333333333333","41","0","1","1","0.5","1","41","0","0","1","0.3333333333333333","1","41","0","1","0","1","1","41","0","1","0","1","0.5","41","0","1","0","0.3333333333333333","1","41","0","0","1","1","1","41","0","1","0","0.14285714285714285","0.5","41","0","1","0","0.3333333333333333","1","41","0","0","1","0.3333333333333333","1","41","0","1","0","0.1","1","41","0","0","1","1","0.5","41","0","0","1","1","1","41","0","0","1","1","0.3333333333333333","41","0","1","1","1","1","41","0","1","1","1","0.2","41","0","0","1","0.5","0.25"
"[max]","41","58","8","39","1","1","41","47","35","10","1","0.5","41","52","26","15","1","1","41","39","41","7","0.08333333333333333","0.2","41","35","41","3","0.3333333333333333","1","41","69","4","40","0.5","0.2","41","25","14","27","0.16666666666666666","1","41","29","39","10","1","1","41","29","1","41","1","0.5","41","37","9","34","0.3333333333333333","0.3333333333333333","41","119","38","17","1","0.5","41","37","41","4","1","0.3333333333333333","41","33","41","4","1","1","41","34","39","6","1","0.3333333333333333","41","54","10","36","0.5","1","41","59","7","41","0.3333333333333333","1","41","61","41","5","1","1","41","27","41","2","1","0.5","41","26","41","2","0.3333333333333333","1","41","51","2","41","1","1","41","41","41","7","0.14285714285714285","0.5","41","27","41","6","0.3333333333333333","1","41","29","2","41","0.3333333333333333","1","41","23","41","1","0.1","1","41","31","6","41","1","0.5","41","32","8","41","1","1","41","39","5","41","1","0.3333333333333333","41","47","13","32","1","1","41","48","26","15","1","0.2","41","65","12","41","0.5","0.25"
"[mean]","41","25.571428571428573","5.142857142857143","17.333333333333332","1","1","41","16.866666666666667","16.2","7","1","0.5","41","20.5","12.8","10.05","1","1","41","22.647058823529413","22.823529411764707","2.0588235294117645","0.08333333333333331","0.20000000000000004","41","19.6","20.1","0.9","0.3333333333333332","1","41","28.125","2.9166666666666665","24.958333333333332","0.5","0.20000000000000007","41","11.733333333333333","9.4","13.2","0.16666666666666663","1","41","13.105263157894736","19.68421052631579","5.894736842105263","1","1","41","15.1875","0.1875","20.4375","1","0.5","41","17.764705882352942","6.882352941176471","16.235294117647058","0.33333333333333326","0.33333333333333326","41","45.193548387096776","18.806451612903224","7.548387096774194","1","0.5","41","22","21","0.8","1","0.3333333333333332","41","17.055555555555557","18.72222222222222","2.111111111111111","1","1","41","15.96","20.2","3.92","1","0.3333333333333332","41","21.105263157894736","7.315789473684211","16.42105263157895","0.5","1","41","30.42105263157895","3.3157894736842106","18.736842105263158","0.3333333333333332","1","41","32.26923076923077","19.076923076923077","2.8461538461538463","1","1","41","8.823529411764707","16.235294117647058","1.7647058823529411","1","0.5","41","12.923076923076923","19.76923076923077","1.0769230769230769","0.3333333333333333","1","41","25","1.7894736842105263","21.789473684210527","1","1","41","19.333333333333332","19.866666666666667","3.466666666666667","0.14285714285714282","0.5","41","14.272727272727273","21.727272727272727","1.9090909090909092","0.3333333333333332","1","41","16.666666666666668","0.4583333333333333","19.041666666666668","0.3333333333333332","1","41","10.5","19.142857142857142","0.42857142857142855","0.1","1","41","17.137931034482758","2.6206896551724137","19.724137931034484","1","0.5","41","16.25","3.2","20.2","1","1","41","21.11764705882353","2","21.294117647058822","1","0.33333333333333326","41","20","8.947368421052632","15.105263157894736","1","1","41","18.41176470588235","12.941176470588236","10.823529411764707","1","0.20000000000000004","41","27.555555555555557","5.666666666666667","20.11111111111111","0.5","0.25"
"[steps]","20","20","20","20","20","20","14","14","14","14","14","14","19","19","19","19","19","19","16","16","16","16","16","16","19","19","19","19","19","19","23","23","23","23","23","23","14","14","14","14","14","14","18","18","18","18","18","18","15","15","15","15","15","15","16","16","16","16","16","16","30","30","30","30","30","30","19","19","19","19","19","19","17","17","17","17","17","17","24","24","24","24","24","24","18","18","18","18","18","18","18","18","18","18","18","18","25","25","25","25","25","25","16","16","16","16","16","16","12","12","12","12","12","12","18","18","18","18","18","18","14","14","14","14","14","14","21","21","21","21","21","21","23","23","23","23","23","23","13","13","13","13","13","13","28","28","28","28","28","28","19","19","19","19","19","19","16","16","16","16","16","16","18","18","18","18","18","18","16","16","16","16","16","16","17","17","17","17","17","17"

"[all run data]","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP"
,"41","0","1","1","1","1","41","0","1","1","1","0.5","41","0","1","1","1","1","41","0","1","1","0.08333333333333333","0.2","41","0","1","1","0.3333333333333333","1","41","0","1","1","0.5","0.2","41","0","1","1","0.16666666666666666","1","41","0","1","1","1","1","41","0","1","1","1","0.5","41","0","1","1","0.3333333333333333","0.3333333333333333","41","0","1","1","1","0.5","41","0","1","1","1","0.3333333333333333","41","0","1","1","1","1","41","0","1","1","1","0.3333333333333333","41","0","1","1","0.5","1","41","0","1","1","0.3333333333333333","1","41","0","1","1","1","1","41","0","1","1","1","0.5","41","0","1","1","0.3333333333333333","1","41","0","1","1","1","1","41","0","1","1","0.14285714285714285","0.5","41","0","1","1","0.3333333333333333","1","41","0","1","1","0.3333333333333333","1","41","0","1","1","0.1","1","41","0","1","1","1","0.5","41","0","1","1","1","1","41","0","1","1","1","0.3333333333333333","41","0","1","1","1","1","41","0","1","1","1","0.2","41","0","1","1","0.5","0.25"
,"41","1","2","2","1","1","41","1","2","2","1","0.5","41","2","2","2","1","1","41","1","2","2","0.08333333333333333","0.2","41","1","2","2","0.3333333333333333","1","41","1","2","2","0.5","0.2","41","0","2","2","0.16666666666666666","1","41","0","2","2","1","1","41","3","1","2","1","0.5","41","2","2","2","0.3333333333333333","0.3333333333333333","41","0","2","2","1","0.5","41","1","2","2","1","0.3333333333333333","41","1","2","2","1","1","41","1","2","2","1","0.3333333333333333","41","2","2","2","0.5","1","41","1","2","2","0.3333333333333333","1","41","1","2","2","1","1","41","0","2","2","1","0.5","41","1","2","2","0.3333333333333333","1","41","2","2","2","1","1","41","0","2","2","0.14285714285714285","0.5","41","2","2","2","0.3333333333333333","1","41","1","1","2","0.3333333333333333","1","41","0","2","1","0.1","1","41","1","2","2","1","0.5","41","2","2","2","1","1","41","1","2","2","1","0.3333333333333333","41","1","2","2","1","1","41","1","2","2","1","0.2","41","1","2","2","0.5","0.25"
,"41","3","3","3","1","1","41","2","3","4","1","0.5","41","4","3","3","1","1","41","2","4","3","0.08333333333333333","0.2","41","3","3","2","0.3333333333333333","1","41","4","3","4","0.5","0.2","41","2","3","3","0.16666666666666666","1","41","1","3","3","1","1","41","5","1","4","1","0.5","41","3","3","4","0.3333333333333333","0.3333333333333333","41","2","3","3","1","0.5","41","2","3","4","1","0.3333333333333333","41","2","3","3","1","1","41","2","3","3","1","0.3333333333333333","41","3","4","3","0.5","1","41","2","3","3","0.3333333333333333","1","41","2","3","3","1","1","41","0","3","2","1","0.5","41","2","4","2","0.3333333333333333","1","41","5","2","3","1","1","41","2","3","4","0.14285714285714285","0.5","41","4","4","3","0.3333333333333333","1","41","1","2","3","0.3333333333333333","1","41","1","4","1","0.1","1","41","2","3","4","1","0.5","41","2","3","3","1","1","41","2","3","4","1","0.3333333333333333","41","2","3","3","1","1","41","3","3","4","1","0.2","41","1","4","4","0.5","0.25"
,"41","5","4","4","1","1","41","3","4","5","1","0.5","41","5","4","4","1","1","41","3","6","5","0.08333333333333333","0.2","41","5","5","3","0.3333333333333333","1","41","8","4","8","0.5","0.2","41","4","5","4","0.16666666666666666","1","41","2","4","4","1","1","41","8","0","6","1","0.5","41","7","5","7","0.3333333333333333","0.3333333333333333","41","3","4","4","1","0.5","41","5","4","4","1","0.3333333333333333","41","2","4","4","1","1","41","3","4","5","1","0.3333333333333333","41","6","5","5","0.5","1","41","4","4","4","0.3333333333333333","1","41","4","4","3","1","1","41","0","5","2","1","0.5","41","3","6","2","0.3333333333333333","1","41","8","2","5","1","1","41","5","5","6","0.14285714285714285","0.5","41","4","6","3","0.3333333333333333","1","41","3","2","3","0.3333333333333333","1","41","2","6","1","0.1","1","41","3","4","5","1","0.5","41","4","4","5","1","1","41","5","3","7","1","0.3333333333333333","41","2","4","4","1","1","41","5","5","5","1","0.2","41","3","5","7","0.5","0.25"
