"BehaviorSpace results (NetLogo 5.2.1)"
"trust01_v8.nlogo"
"experiment200"
"11/03/2015 17:19:43:644 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","30","0","31"
"[run number]","confirmationSkeptic","_network_type","proportionSkeptic","discovery_type","_nodes","_log","_exportMovie","[step]","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP"
"4","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","9","201","22","6","18","0.5","1"
"3","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","31","201","159","147","20","1","0.5"
"4","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","10","201","28","6","23","0.5","1"
"3","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","32","201","161","153","20","1","0.5"
"4","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","11","201","33","6","28","0.5","1"
"2","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","20","201","24","25","25","1","1"
"3","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","33","201","164","159","20","1","0.5"
"3","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","34","201","166","165","20","1","0.5"
"2","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","21","201","24","26","24","1","1"
"3","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","35","201","169","169","20","1","0.5"
"3","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","36","201","172","173","20","1","0.5"
"3","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","37","201","175","177","20","1","0.5"
"3","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","38","201","176","179","20","1","0.5"
"3","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","39","201","176","180","20","1","0.5"
"4","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","12","201","38","6","31","0.5","1"
"4","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","13","201","41","6","34","0.5","1"
"4","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","14","201","44","6","37","0.5","1"
"3","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","40","201","177","181","20","1","0.5"
"4","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","15","201","48","6","42","0.5","1"
"2","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","22","201","25","28","23","1","1"
"4","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","16","201","51","6","45","0.5","1"
"4","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","17","201","55","6","47","0.5","1"
"4","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","18","201","58","6","50","0.5","1"
"4","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","19","201","62","6","54","0.5","1"
"2","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","23","201","28","31","22","1","1"
"4","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","20","201","66","6","59","0.5","1"
"4","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","21","201","72","6","66","0.5","1"
"2","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","24","201","29","34","21","1","1"
"4","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","22","201","78","6","71","0.5","1"
"4","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","23","201","81","6","73","0.5","1"
"4","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","24","201","84","6","75","0.5","1"
"4","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","25","201","88","6","78","0.5","1"
"4","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","26","201","92","6","81","0.5","1"
"4","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","27","201","96","6","85","0.5","1"
"4","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","28","201","100","6","89","0.5","1"
"4","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","29","201","105","6","94","0.5","1"
"2","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","25","201","31","37","20","1","1"
"4","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","30","201","110","6","99","0.5","1"
