"[min]","101","0","1","0","0.5","1","101","0","1","0","1","1","101","0","0","1","1","1","101","0","1","0","0.5","1","101","0","1","1","0.5","1","101","0","0","1","1","1","101","0","1","1","1","1","101","0","0","1","0.3333333333333333","1","101","0","0","1","1","0.3333333333333333","101","0","1","1","0.16666666666666666","1","101","0","1","1","0.5","0.25","101","0","1","1","0.5","1","101","0","0","1","1","1","101","0","1","1","1","1","101","0","1","1","1","1","101","0","0","1","1","1","101","0","0","1","1","0.5","101","0","1","1","1","0.3333333333333333","101","0","1","1","1","1","101","0","0","1","1","1","101","0","1","1","1","1","101","0","1","0","1","0.5","101","0","0","1","0.5","1","101","0","1","1","1","1","101","0","1","0","1","1","101","0","1","0","0.5","0.05263157894736842","101","0","1","0","1","1","101","0","1","0","1","0.5","101","0","1","0","1","0.5","101","0","1","1","0.5","1"
"[max]","101","107","101","2","0.5","1","101","144","101","16","1","1","101","124","17","101","1","1","101","137","101","29","0.5","1","101","101","94","30","0.5","1","101","112","16","101","1","1","101","133","44","80","1","1","101","174","10","101","0.3333333333333333","1","101","53","3","101","1","0.3333333333333333","101","72","11","98","0.16666666666666666","1","101","80","72","29","0.5","0.25","101","124","28","86","0.5","1","101","49","1","101","1","1","101","119","98","41","1","1","101","182","84","40","1","1","101","46","9","101","1","1","101","103","7","101","1","0.5","101","123","86","24","1","0.3333333333333333","101","139","42","59","1","1","101","50","6","101","1","1","101","51","71","30","1","1","101","55","101","8","1","0.5","101","75","6","101","0.5","1","101","232","36","88","1","1","101","95","101","13","1","1","101","84","101","1","0.5","0.05263157894736842","101","72","101","4","1","1","101","55","101","4","1","0.5","101","76","101","8","1","0.5","101","64","49","59","0.5","1"
"[mean]","101","62","52.71739130434783","1.0434782608695652","0.5","1","101","71.26666666666667","40.266666666666666","7.366666666666666","1","1","101","55.857142857142854","8.571428571428571","48.30952380952381","1","1","101","61.4390243902439","50.19512195121951","14.560975609756097","0.5","1","101","52.733333333333334","50.51111111111111","15.777777777777779","0.5","1","101","55.23529411764706","6","46.705882352941174","1","1","101","54.13513513513514","26.405405405405407","41.37837837837838","1","1","101","97.71052631578948","4.184210526315789","50.73684210526316","0.3333333333333335","1","101","27.9","0.4","56.03333333333333","1","0.3333333333333333","101","39.114285714285714","4.428571428571429","48.65714285714286","0.1666666666666667","1","101","30.52","33.04","15.32","0.5","0.25","101","50.03703703703704","16.74074074074074","37.148148148148145","0.5","1","101","22.022222222222222","0.044444444444444446","40.53333333333333","1","1","101","66.50980392156863","53.294117647058826","17.764705882352942","1","1","101","81","42.7","21.675","1","1","101","21.09090909090909","5.303030303030303","45.96969696969697","1","1","101","46.46153846153846","3.423076923076923","45.61538461538461","1","0.5","101","46.40909090909091","36.04545454545455","15.227272727272727","1","0.3333333333333332","101","66.46875","22.4375","37.5","1","1","101","20.363636363636363","2.6363636363636362","42.63636363636363","1","1","101","21.48","30.24","15.36","1","1","101","27.294117647058822","47","1.8235294117647058","1","0.5","101","45","1.6176470588235294","48.029411764705884","0.5","1","101","76.12820512820512","19.846153846153847","50.05128205128205","1","1","101","41","49.8","7.84","1","1","101","52.421052631578945","51.526315789473685","0.5","0.5","0.05263157894736838","101","37.8235294117647","35","0.8823529411764706","1","1","101","21.233333333333334","42.43333333333333","3.2333333333333334","1","0.5","101","43.07692307692308","57.1025641025641","2.6666666666666665","1","0.5","101","28.333333333333332","25.875","28.333333333333332","0.5","1"
"[steps]","45","45","45","45","45","45","29","29","29","29","29","29","41","41","41","41","41","41","40","40","40","40","40","40","44","44","44","44","44","44","33","33","33","33","33","33","36","36","36","36","36","36","37","37","37","37","37","37","29","29","29","29","29","29","34","34","34","34","34","34","24","24","24","24","24","24","26","26","26","26","26","26","44","44","44","44","44","44","50","50","50","50","50","50","39","39","39","39","39","39","32","32","32","32","32","32","25","25","25","25","25","25","21","21","21","21","21","21","31","31","31","31","31","31","21","21","21","21","21","21","24","24","24","24","24","24","33","33","33","33","33","33","33","33","33","33","33","33","38","38","38","38","38","38","24","24","24","24","24","24","37","37","37","37","37","37","33","33","33","33","33","33","29","29","29","29","29","29","38","38","38","38","38","38","23","23","23","23","23","23"

"[all run data]","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP"
,"101","0","1","1","0.5","1","101","0","1","1","1","1","101","0","1","1","1","1","101","0","1","1","0.5","1","101","0","1","1","0.5","1","101","0","1","1","1","1","101","0","1","1","1","1","101","0","1","1","0.3333333333333333","1","101","0","1","1","1","0.3333333333333333","101","0","1","1","0.16666666666666666","1","101","0","1","1","0.5","0.25","101","0","1","1","0.5","1","101","0","1","1","1","1","101","0","1","1","1","1","101","0","1","1","1","1","101","0","1","1","1","1","101","0","1","1","1","0.5","101","0","1","1","1","0.3333333333333333","101","0","1","1","1","1","101","0","1","1","1","1","101","0","1","1","1","1","101","0","1","1","1","0.5","101","0","1","1","0.5","1","101","0","1","1","1","1","101","0","1","1","1","1","101","0","1","1","0.5","0.05263157894736842","101","0","1","1","1","1","101","0","1","1","1","0.5","101","0","1","1","1","0.5","101","0","1","1","0.5","1"
,"101","1","2","2","0.5","1","101","2","2","2","1","1","101","0","2","2","1","1","101","1","2","2","0.5","1","101","1","2","2","0.5","1","101","2","2","2","1","1","101","1","2","2","1","1","101","2","2","2","0.3333333333333333","1","101","0","2","2","1","0.3333333333333333","101","1","2","2","0.16666666666666666","1","101","0","2","2","0.5","0.25","101","1","2","2","0.5","1","101","3","1","2","1","1","101","0","2","2","1","1","101","1","2","2","1","1","101","0","2","2","1","1","101","2","2","2","1","0.5","101","2","2","2","1","0.3333333333333333","101","0","2","2","1","1","101","0","2","2","1","1","101","1","2","2","1","1","101","1","2","2","1","0.5","101","0","2","2","0.5","1","101","2","2","2","1","1","101","2","2","2","1","1","101","2","2","1","0.5","0.05263157894736842","101","1","2","2","1","1","101","0","2","2","1","0.5","101","0","2","2","1","0.5","101","0","2","2","0.5","1"
,"101","3","3","2","0.5","1","101","5","3","2","1","1","101","2","3","3","1","1","101","3","4","3","0.5","1","101","2","3","2","0.5","1","101","3","3","3","1","1","101","3","3","3","1","1","101","3","3","3","0.3333333333333333","1","101","0","3","3","1","0.3333333333333333","101","3","3","3","0.16666666666666666","1","101","2","3","4","0.5","0.25","101","1","3","3","0.5","1","101","5","0","3","1","1","101","2","3","3","1","1","101","2","3","3","1","1","101","0","3","3","1","1","101","3","3","4","1","0.5","101","3","3","4","1","0.3333333333333333","101","2","3","3","1","1","101","0","3","3","1","1","101","1","3","3","1","1","101","3","3","4","1","0.5","101","2","4","3","0.5","1","101","2","3","3","1","1","101","3","3","3","1","1","101","6","4","1","0.5","0.05263157894736842","101","3","3","3","1","1","101","1","3","3","1","0.5","101","0","3","4","1","0.5","101","1","4","3","0.5","1"
,"101","5","4","2","0.5","1","101","7","4","3","1","1","101","3","5","5","1","1","101","3","5","4","0.5","1","101","3","4","3","0.5","1","101","5","4","4","1","1","101","5","5","5","1","1","101","5","4","5","0.3333333333333333","1","101","2","3","5","1","0.3333333333333333","101","3","4","5","0.16666666666666666","1","101","3","4","5","0.5","0.25","101","1","4","4","0.5","1","101","6","0","4","1","1","101","4","4","4","1","1","101","5","5","4","1","1","101","1","4","5","1","1","101","6","4","6","1","0.5","101","4","5","7","1","0.3333333333333333","101","5","3","5","1","1","101","1","4","4","1","1","101","2","4","4","1","1","101","3","4","6","1","0.5","101","5","5","5","0.5","1","101","2","4","5","1","1","101","5","4","5","1","1","101","9","6","1","0.5","0.05263157894736842","101","5","3","3","1","1","101","2","5","3","1","0.5","101","1","5","5","1","0.5","101","3","5","5","0.5","1"
,"101","7","6","2","0.5","1","101","11","6","5","1","1","101","6","7","7","1","1","101","6","7","5","0.5","1","101","3","5","3","0.5","1","101","6","5","6","1","1","101","5","6","7","1","1","101","7","4","6","0.3333333333333333","1","101","2","2","7","1","0.3333333333333333","101","3","6","7","0.16666666666666666","1","101","3","5","6","0.5","0.25","101","3","5","5","0.5","1","101","6","0","5","1","1","101","5","5","5","1","1","101","5","6","5","1","1","101","2","6","7","1","1","101","8","5","8","1","0.5","101","6","7","8","1","0.3333333333333333","101","8","4","7","1","1","101","1","5","6","1","1","101","3","5","5","1","1","101","3","5","7","1","0.5","101","8","5","6","0.5","1","101","4","5","6","1","1","101","8","6","7","1","1","101","11","8","1","0.5","0.05263157894736842","101","9","4","3","1","1","101","2","7","4","1","0.5","101","3","7","5","1","0.5","101","4","6","6","0.5","1"
,"101","10","7","2","0.5","1","101","16","7","7","1","1","101","8","10","9","1","1","101","9","11","7","0.5","1","101","4","6","4","0.5","1","101","8","6","7","1","1","101","8","8","9","1","1","101","12","5","7","0.3333333333333333","1","101","3","1","10","1","0.3333333333333333","101","4","8","9","0.16666666666666666","1","101","5","7","7","0.5","0.25","101","4","6","7","0.5","1","101","7","0","6","1","1","101","6","7","6","1","1","101","6","7","6","1","1","101","3","7","9","1","1","101","11","6","10","1","0.5","101","10","11","9","1","0.3333333333333333","101","10","4","8","1","1","101","3","6","8","1","1","101","5","6","6","1","1","101","4","7","8","1","0.5","101","12","5","7","0.5","1","101","5","7","8","1","1","101","11","9","10","1","1","101","14","10","1","0.5","0.05263157894736842","101","11","4","4","1","1","101","3","8","4","1","0.5","101","5","10","5","1","0.5","101","6","7","8","0.5","1"
,"101","12","9","2","0.5","1","101","19","7","8","1","1","101","10","13","10","1","1","101","11","13","9","0.5","1","101","7","9","5","0.5","1","101","9","8","9","1","1","101","10","11","11","1","1","101","17","6","10","0.3333333333333333","1","101","4","0","14","1","0.3333333333333333","101","7","10","10","0.16666666666666666","1","101","9","11","8","0.5","0.25","101","7","8","10","0.5","1","101","7","0","8","1","1","101","8","10","7","1","1","101","8","9","7","1","1","101","6","8","11","1","1","101","13","7","11","1","0.5","101","14","17","11","1","0.3333333333333333","101","12","4","9","1","1","101","6","6","10","1","1","101","6","7","7","1","1","101","5","9","8","1","0.5","101","17","6","7","0.5","1","101","7","9","10","1","1","101","13","13","11","1","1","101","17","12","1","0.5","0.05263157894736842","101","15","5","3","1","1","101","4","10","4","1","0.5","101","6","14","5","1","0.5","101","6","9","11","0.5","1"
,"101","14","10","2","0.5","1","101","22","8","10","1","1","101","12","14","11","1","1","101","12","15","13","0.5","1","101","10","13","7","0.5","1","101","11","10","10","1","1","101","13","13","14","1","1","101","25","8","13","0.3333333333333333","1","101","7","0","18","1","0.3333333333333333","101","9","11","12","0.16666666666666666","1","101","12","13","10","0.5","0.25","101","10","11","12","0.5","1","101","7","0","9","1","1","101","10","14","9","1","1","101","10","13","9","1","1","101","7","9","14","1","1","101","16","7","13","1","0.5","101","18","20","13","1","0.3333333333333333","101","15","5","10","1","1","101","8","6","13","1","1","101","7","9","8","1","1","101","7","12","8","1","0.5","101","20","6","9","0.5","1","101","11","12","13","1","1","101","15","17","12","1","1","101","20","13","1","0.5","0.05263157894736842","101","19","5","3","1","1","101","5","12","4","1","0.5","101","10","20","5","1","0.5","101","8","11","12","0.5","1"
,"101","17","12","2","0.5","1","101","25","9","11","1","1","101","13","15","12","1","1","101","15","18","18","0.5","1","101","16","19","9","0.5","1","101","12","12","11","1","1","101","15","15","18","1","1","101","31","9","15","0.3333333333333333","1","101","11","0","23","1","0.3333333333333333","101","12","10","14","0.16666666666666666","1","101","15","15","11","0.5","0.25","101","15","13","14","0.5","1","101","8","0","10","1","1","101","12","18","11","1","1","101","14","15","11","1","1","101","9","9","17","1","1","101","18","7","14","1","0.5","101","24","23","14","1","0.3333333333333333","101","19","6","12","1","1","101","9","5","16","1","1","101","7","11","8","1","1","101","12","15","7","1","0.5","101","24","6","13","0.5","1","101","12","14","17","1","1","101","17","23","13","1","1","101","23","15","1","0.5","0.05263157894736842","101","22","6","3","1","1","101","5","13","4","1","0.5","101","14","24","5","1","0.5","101","10","14","14","0.5","1"
,"101","21","15","2","0.5","1","101","29","9","12","1","1","101","15","16","13","1","1","101","19","22","23","0.5","1","101","20","22","11","0.5","1","101","13","14","13","1","1","101","17","16","21","1","1","101","37","10","16","0.3333333333333333","1","101","13","0","27","1","0.3333333333333333","101","17","9","17","0.16666666666666666","1","101","16","17","12","0.5","0.25","101","19","16","15","0.5","1","101","9","0","11","1","1","101","15","23","14","1","1","101","18","17","15","1","1","101","9","9","19","1","1","101","23","6","16","1","0.5","101","28","26","17","1","0.3333333333333333","101","24","7","15","1","1","101","11","5","21","1","1","101","8","14","9","1","1","101","15","18","5","1","0.5","101","28","4","17","0.5","1","101","15","17","22","1","1","101","20","30","13","1","1","101","25","18","1","0.5","0.05263157894736842","101","26","7","2","1","1","101","5","15","4","1","0.5","101","17","28","6","1","0.5","101","14","17","17","0.5","1"
