"BehaviorSpace results (NetLogo 5.2.1)"
"trust01_v9b.nlogo"
"experiment"
"11/05/2015 09:38:09:868 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","30","0","31"
"[run number]","_log","discovery_type","_exportMovie","proportionSkeptic","_network_type","_nodes","confirmationSkeptic","[step]","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP"
"9","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","1","11","0","2","2","1","0.16666666666666666"
"9","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","2","11","0","1","4","1","0.16666666666666666"
"3","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","3","11","1","5","2","1","1"
"3","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","4","11","3","8","1","1","1"
"3","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","5","11","4","10","1","1","1"
"4","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","5","11","11","3","5","1","1"
"1","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","5","11","14","0","8","1","0.5"
"10","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","0","11","0","1","1","1","0.2"
"4","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","6","11","13","2","6","1","1"
"9","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","3","11","1","0","6","1","0.16666666666666666"
"10","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","1","11","0","2","2","1","0.2"
"4","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","7","11","16","2","8","1","1"
"10","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","2","11","0","3","3","1","0.2"
"4","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","8","11","21","0","11","1","1"
"10","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","3","11","1","3","4","1","0.2"
"10","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","4","11","1","4","5","1","0.2"
"1","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","6","11","14","0","9","1","0.5"
"1","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","7","11","14","0","10","1","0.5"
"1","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","8","11","14","0","11","1","0.5"
"9","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","4","11","2","0","7","1","0.16666666666666666"
"12","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","0","11","0","1","1","1","1"
"9","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","5","11","4","0","9","1","0.16666666666666666"
"9","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","6","11","5","0","11","1","0.16666666666666666"
"12","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","1","11","1","2","2","1","1"
"10","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","5","11","1","4","6","1","0.2"
"11","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","0","11","0","1","1","0.5","0.5"
"10","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","6","11","2","5","6","1","0.2"
"12","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","2","11","3","2","2","1","1"
"11","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","1","11","2","2","2","0.5","0.5"
