"BehaviorSpace results (NetLogo 5.2.1)"
"trust01_v9b.nlogo"
"experiment"
"11/05/2015 09:38:10:226 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","30","0","31"
"[run number]","1","1","1","1","1","1","2","2","2","2","2","2","3","3","3","3","3","3","4","4","4","4","4","4","5","5","5","5","5","5","6","6","6","6","6","6","7","7","7","7","7","7","8","8","8","8","8","8","9","9","9","9","9","9","10","10","10","10","10","10","11","11","11","11","11","11","12","12","12","12","12","12","13","13","13","13","13","13","14","14","14","14","14","14","15","15","15","15","15","15","16","16","16","16","16","16","17","17","17","17","17","17","18","18","18","18","18","18","19","19","19","19","19","19","20","20","20","20","20","20","21","21","21","21","21","21","22","22","22","22","22","22","23","23","23","23","23","23","24","24","24","24","24","24","25","25","25","25","25","25","26","26","26","26","26","26","27","27","27","27","27","27","28","28","28","28","28","28","29","29","29","29","29","29","30","30","30","30","30","30"
"[max]","11","14","1","11","1","0.5","11","13","2","11","1","0.16666666666666666","11","4","10","2","1","1","11","21","4","11","1","1","11","17","11","1","0.5","1","11","29","11","3","0.5","1","11","5","2","11","1","1","11","29","5","6","0.5","1","11","5","2","11","1","0.16666666666666666","11","2","5","6","1","0.2","11","16","9","2","0.5","0.5","11","19","6","5","1","1","11","21","11","2","0.5","1","11","4","7","4","0.2","0.2","11","12","11","1","1","0.2","11","17","11","2","0.5","1","11","8","11","1","1","0.2","11","20","2","11","1","1","11","2","2","11","1","1","11","18","1","10","1","0.5","11","13","11","1","0.2","1","11","2","2","11","0.2","0.2","11","12","1","11","1","0.2","11","5","3","10","1","0.2","11","9","1","11","1","1","11","13","8","4","1","1","11","10","4","9","1","0.2","11","20","2","10","1","0.5","11","13","8","4","1","1","11","15","10","2","1","1"
"[mean]","11","9.444444444444445","0.5555555555555556","6.222222222222222","1","0.5","11","7","0.8571428571428571","5.714285714285714","1","0.16666666666666666","11","1.6666666666666667","4.833333333333333","1.5","1","1","11","8.333333333333334","2.2222222222222223","4.777777777777778","1","1","11","8.571428571428571","5.714285714285714","0.7142857142857143","0.5","1","11","15.090909090909092","6.090909090909091","1.6363636363636365","0.5","1","11","2.125","0.75","5.875","1","1","11","13.083333333333334","3.9166666666666665","4","0.5","1","11","1.7142857142857142","0.5714285714285714","5.714285714285714","1","0.16666666666666666","11","0.7142857142857143","3.142857142857143","3.857142857142857","1","0.19999999999999998","11","8.375","5.25","1.875","0.5","0.5","11","7.875","2.75","3.375","1","1","11","9.375","5.625","1.25","0.5","1","11","1.5","3.8333333333333335","2.8333333333333335","0.19999999999999998","0.19999999999999998","11","6.428571428571429","5.714285714285714","0.7142857142857143","1","0.19999999999999998","11","9.777777777777779","6","0.8888888888888888","0.5","1","11","5.111111111111111","5.777777777777778","0.3333333333333333","1","0.19999999999999998","11","10.8","1.3","6.1","1","1","11","1.125","0.5","6","1","1","11","9.375","1","5.5","1","0.5","11","7.166666666666667","5.333333333333333","0.5","0.19999999999999998","1","11","0.6666666666666666","1.1666666666666667","5.333333333333333","0.19999999999999998","0.19999999999999998","11","7.545454545454546","0.45454545454545453","5.2727272727272725","1","0.19999999999999998","11","3","1.8571428571428572","5.428571428571429","1","0.19999999999999998","11","6.545454545454546","0.18181818181818182","6","1","1","11","5","4.285714285714286","2.857142857142857","1","1","11","3.857142857142857","2.5714285714285716","4.142857142857143","1","0.19999999999999998","11","9.11111111111111","1.7777777777777777","5.111111111111111","1","0.5","11","5.333333333333333","4","2.6666666666666665","1","1","11","6.5","4.833333333333333","1.5","1","1"
"[steps]","8","8","8","8","8","8","6","6","6","6","6","6","5","5","5","5","5","5","8","8","8","8","8","8","6","6","6","6","6","6","10","10","10","10","10","10","7","7","7","7","7","7","11","11","11","11","11","11","6","6","6","6","6","6","6","6","6","6","6","6","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","5","5","5","5","5","5","6","6","6","6","6","6","8","8","8","8","8","8","8","8","8","8","8","8","9","9","9","9","9","9","7","7","7","7","7","7","7","7","7","7","7","7","5","5","5","5","5","5","5","5","5","5","5","5","10","10","10","10","10","10","6","6","6","6","6","6","10","10","10","10","10","10","6","6","6","6","6","6","6","6","6","6","6","6","8","8","8","8","8","8","5","5","5","5","5","5","5","5","5","5","5","5"

"[all run data]","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP"
,"11","0","1","1","1","0.5","11","0","1","1","1","0.16666666666666666","11","0","1","1","1","1","11","0","1","1","1","1","11","0","1","1","0.5","1","11","0","1","1","0.5","1","11","0","1","1","1","1","11","0","1","1","0.5","1","11","0","1","1","1","0.16666666666666666","11","0","1","1","1","0.2","11","0","1","1","0.5","0.5","11","0","1","1","1","1","11","0","1","1","0.5","1","11","0","1","1","0.2","0.2","11","0","1","1","1","0.2","11","0","1","1","0.5","1","11","0","1","1","1","0.2","11","0","1","1","1","1","11","0","1","1","1","1","11","0","1","1","1","0.5","11","0","1","1","0.2","1","11","0","1","1","0.2","0.2","11","0","1","1","1","0.2","11","0","1","1","1","0.2","11","0","1","1","1","1","11","0","1","1","1","1","11","0","1","1","1","0.2","11","0","1","1","1","0.5","11","0","1","1","1","1","11","0","1","1","1","1"
,"11","3","1","2","1","0.5","11","1","2","2","1","0.16666666666666666","11","1","2","2","1","1","11","1","2","2","1","1","11","3","2","1","0.5","1","11","1","2","2","0.5","1","11","1","2","2","1","1","11","1","2","2","0.5","1","11","0","2","2","1","0.16666666666666666","11","0","2","2","1","0.2","11","2","2","2","0.5","0.5","11","1","2","2","1","1","11","1","2","2","0.5","1","11","1","2","2","0.2","0.2","11","2","2","1","1","0.2","11","1","2","2","0.5","1","11","2","2","1","1","0.2","11","1","2","2","1","1","11","0","2","2","1","1","11","3","1","2","1","0.5","11","3","2","1","0.2","1","11","0","1","2","0.2","0.2","11","2","1","1","1","0.2","11","1","2","2","1","0.2","11","3","1","2","1","1","11","1","2","2","1","1","11","2","2","1","1","0.2","11","2","2","2","1","0.5","11","1","2","2","1","1","11","1","2","2","1","1"
,"11","6","1","4","1","0.5","11","4","2","3","1","0.16666666666666666","11","1","3","2","1","1","11","2","3","3","1","1","11","6","4","1","0.5","1","11","2","4","3","0.5","1","11","1","2","3","1","1","11","2","3","3","0.5","1","11","0","1","4","1","0.16666666666666666","11","0","3","3","1","0.2","11","5","4","2","0.5","0.5","11","3","2","2","1","1","11","4","4","2","0.5","1","11","1","3","3","0.2","0.2","11","4","3","1","1","0.2","11","4","4","2","0.5","1","11","4","3","1","1","0.2","11","4","2","3","1","1","11","0","1","3","1","1","11","6","1","4","1","0.5","11","6","4","1","0.2","1","11","0","2","4","0.2","0.2","11","4","1","2","1","0.2","11","3","3","4","1","0.2","11","5","0","3","1","1","11","2","3","3","1","1","11","2","3","2","1","0.2","11","5","2","3","1","0.5","11","2","3","3","1","1","11","4","3","2","1","1"
,"11","9","1","5","1","0.5","11","8","1","5","1","0.16666666666666666","11","1","5","2","1","1","11","4","3","3","1","1","11","8","6","1","0.5","1","11","6","4","3","0.5","1","11","1","1","5","1","1","11","5","4","4","0.5","1","11","1","0","6","1","0.16666666666666666","11","1","3","4","1","0.2","11","8","5","2","0.5","0.5","11","5","1","3","1","1","11","7","5","2","0.5","1","11","1","4","3","0.2","0.2","11","6","5","1","1","0.2","11","7","5","2","0.5","1","11","6","4","0","1","0.2","11","7","2","4","1","1","11","1","0","5","1","1","11","8","1","5","1","0.5","11","10","6","0","0.2","1","11","1","2","6","0.2","0.2","11","6","1","3","1","0.2","11","3","3","5","1","0.2","11","6","0","4","1","1","11","3","4","4","1","1","11","2","4","4","1","0.2","11","7","2","4","1","0.5","11","6","4","4","1","1","11","7","5","2","1","1"
,"11","11","1","6","1","0.5","11","11","0","8","1","0.16666666666666666","11","3","8","1","1","1","11","7","4","4","1","1","11","11","7","1","0.5","1","11","10","5","3","0.5","1","11","2","0","7","1","1","11","7","4","5","0.5","1","11","2","0","7","1","0.16666666666666666","11","1","4","5","1","0.2","11","10","6","2","0.5","0.5","11","8","2","4","1","1","11","11","6","1","0.5","1","11","2","6","4","0.2","0.2","11","9","8","1","1","0.2","11","11","6","1","0.5","1","11","6","5","0","1","0.2","11","10","2","6","1","1","11","2","0","7","1","1","11","11","1","6","1","0.5","11","11","8","0","0.2","1","11","1","1","8","0.2","0.2","11","8","1","4","1","0.2","11","4","2","7","1","0.2","11","7","0","5","1","1","11","6","5","4","1","1","11","4","3","5","1","0.2","11","9","2","5","1","0.5","11","10","6","3","1","1","11","12","8","1","1","1"
