BehaviorSpace results (NetLogo 5.2.1),,,,,,,,,,,,,,
trust01+AF8-v9b.nlogo,,,,,,,,,,,,,,
experiment100skeptic,,,,,,,,,,,,,,
11/05/2015 10:50:38:030 +003//Q-,,,,,,,,,,,,,,
min+AC0-pxcor,max+AC0-pxcor,min+AC0-pycor,max+AC0-pycor,,,,,,,,,,,
0,30,0,31,,,,,,,,,,,
+AFs-run number+AF0-,+AF8-log,discovery+AF8-type,+AF8-exportMovie,proportionSkeptic,+AF8-network+AF8-type,+AF8-nodes,confirmationSkeptic,+AFs-step+AF0-,count turtles,sum +AFs-costs+AF0- of turtles,count turtles with +AFs- p? +AF0-,count turtles with +AFs- +AF8-p? +AF0-,+AFs-ranking+AF0- of turtle discoverP,+AFs-ranking+AF0- of turtle discoverNotP
1,true,+ACI-+ACIAIg-lazyP+AC0-skepticNotP+ACIAIg-+ACI-,false,80,+ACI-+ACIAIg-small+AC0-world+ACIAIg-+ACI-,100,100,29,101,168,18,83,1,0.5
2,true,+ACI-+ACIAIg-lazyP+AC0-skepticNotP+ACIAIg-+ACI-,false,80,+ACI-+ACIAIg-small+AC0-world+ACIAIg-+ACI-,100,100,40,101,93,0,101,1,1
3,true,+ACI-+ACIAIg-lazyP+AC0-skepticNotP+ACIAIg-+ACI-,false,80,+ACI-+ACIAIg-small+AC0-world+ACIAIg-+ACI-,100,100,24,101,173,96,5,1,1
4,true,+ACI-+ACIAIg-lazyP+AC0-skepticNotP+ACIAIg-+ACI-,false,80,+ACI-+ACIAIg-small+AC0-world+ACIAIg-+ACI-,100,100,28,101,192,2,99,0.5,1
5,true,+ACI-+ACIAIg-lazyP+AC0-skepticNotP+ACIAIg-+ACI-,false,80,+ACI-+ACIAIg-small+AC0-world+ACIAIg-+ACI-,100,100,29,101,114,101,0,0.5,1
6,true,+ACI-+ACIAIg-lazyP+AC0-skepticNotP+ACIAIg-+ACI-,false,80,+ACI-+ACIAIg-small+AC0-world+ACIAIg-+ACI-,100,100,33,101,171,9,92,1,1
7,true,+ACI-+ACIAIg-lazyP+AC0-skepticNotP+ACIAIg-+ACI-,false,80,+ACI-+ACIAIg-small+AC0-world+ACIAIg-+ACI-,100,100,27,101,188,99,2,0.2,0.1111111111
8,true,+ACI-+ACIAIg-lazyP+AC0-skepticNotP+ACIAIg-+ACI-,false,80,+ACI-+ACIAIg-small+AC0-world+ACIAIg-+ACI-,100,100,43,101,161,0,101,0.25,1
9,true,+ACI-+ACIAIg-lazyP+AC0-skepticNotP+ACIAIg-+ACI-,false,80,+ACI-+ACIAIg-small+AC0-world+ACIAIg-+ACI-,100,100,33,101,162,1,100,1,0.5
10,true,+ACI-+ACIAIg-lazyP+AC0-skepticNotP+ACIAIg-+ACI-,false,80,+ACI-+ACIAIg-small+AC0-world+ACIAIg-+ACI-,100,100,46,101,147,101,0,1,1
11,true,+ACI-+ACIAIg-lazyP+AC0-skepticNotP+ACIAIg-+ACI-,false,80,+ACI-+ACIAIg-small+AC0-world+ACIAIg-+ACI-,100,100,28,101,96,39,62,1,0.0434782609
