"BehaviorSpace results (NetLogo 5.2.1)"
"trust01_v9b.nlogo"
"experiment240random"
"11/11/2015 14:49:11:169 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","30","0","31"
"[run number]","_log","discovery_type","_exportMovie","proportionSkeptic","_network_type","_nodes","confirmationSkeptic","[step]","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP"
"3","true","""lazyP-skepticNotP""","false","50","""random""","240","95","1000","240","114","167","0","17","156"
"1","true","""lazyP-skepticNotP""","false","50","""random""","240","95","1000","240","105","0","168","68","13"
"5","true","""lazyP-skepticNotP""","false","50","""random""","240","95","1000","240","128","0","167","79","8"
"7","true","""lazyP-skepticNotP""","false","50","""random""","240","95","30","240","122","167","73","121","207"
"8","true","""lazyP-skepticNotP""","false","50","""random""","240","95","31","240","122","167","73","116","211"
"6","true","""lazyP-skepticNotP""","false","50","""random""","240","95","1000","240","95","168","39","14","16"
"9","true","""lazyP-skepticNotP""","false","50","""random""","240","95","33","240","122","167","73","87","93"
"11","true","""lazyP-skepticNotP""","false","50","""random""","240","95","42","240","122","167","73","26","221"
"12","true","""lazyP-skepticNotP""","false","50","""random""","240","95","33","240","122","167","73","43","50"
"13","true","""lazyP-skepticNotP""","false","50","""random""","240","95","32","240","122","167","73","53","211"
"4","true","""lazyP-skepticNotP""","false","50","""random""","240","95","1000","240","2097","5","168","193","19"
"10","true","""lazyP-skepticNotP""","false","50","""random""","240","95","1000","240","87","67","101","194","156"
"2","true","""lazyP-skepticNotP""","false","50","""random""","240","95","1000","240","116","206","29","162","150"
"14","true","""lazyP-skepticNotP""","false","50","""random""","240","95","1000","240","104","23","144","226","157"
"15","true","""lazyP-skepticNotP""","false","50","""random""","240","95","1000","240","76","5","163","134","19"
"19","true","""lazyP-skepticNotP""","false","50","""random""","240","95","25","240","103","72","168","69","34"
"16","true","""lazyP-skepticNotP""","false","50","""random""","240","95","1000","240","73","84","84","186","48"
"18","true","""lazyP-skepticNotP""","false","50","""random""","240","95","1000","240","88","129","38","118","147"
"22","true","""lazyP-skepticNotP""","false","50","""random""","240","95","42","240","122","73","167","13","191"
"23","true","""lazyP-skepticNotP""","false","50","""random""","240","95","24","240","122","73","167","119","134"
"24","true","""lazyP-skepticNotP""","false","50","""random""","240","95","39","240","122","167","73","68","133"
"25","true","""lazyP-skepticNotP""","false","50","""random""","240","95","31","240","122","167","73","181","105"
"20","true","""lazyP-skepticNotP""","false","50","""random""","240","95","1000","240","52","13","59","198","33"
"26","true","""lazyP-skepticNotP""","false","50","""random""","240","95","1000","240","136","0","167","6","117"
"17","true","""lazyP-skepticNotP""","false","50","""random""","240","95","1000","240","116","206","29","104","201"
"28","true","""lazyP-skepticNotP""","false","50","""random""","240","95","1000","240","61","0","73","150","15"
"21","true","""lazyP-skepticNotP""","false","50","""random""","240","95","1000","240","139","31","137","233","52"
"27","true","""lazyP-skepticNotP""","false","50","""random""","240","95","1000","240","114","168","0","11","196"
"30","true","""lazyP-skepticNotP""","false","50","""random""","240","95","1000","240","90","0","167","154","205"
"29","true","""lazyP-skepticNotP""","false","50","""random""","240","95","1000","240","243","206","0","48","60"
