BehaviorSpace results (NetLogo 5.3),,,,,,,,,,,,,,,,,
untrust01.nlogo,,,,,,,,,,,,,,,,,
experiment2b_distrust300sw_lazyproportion50_lazylazy,,,,,,,,,,,,,,,,,
08/19/2016 11:22:50:446 +0100,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,
0,30,0,31,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
[run number],_log,discovery_type,_exportMovie,proportionSkeptic,_network_type,_nodes,confirmationSkeptic,[step],count turtles,count turtles with [ p? ],count turtles with [ _p? ],[ranking] of turtle discoverP,[ranking] of turtle discoverNotP,sum [costsTrust] of turtles,sum [costsDisTrust] of turtles,count links with [color = yellow],count links with [color = green]
90,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,87,301,121,180,1,1,744,201,129,171
26,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,87,301,68,233,1,1,582,211,129,171
87,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,62,301,41,260,1,1,699,258,129,171
25,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,59,301,26,275,1,1,429,160,130,170
64,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,75,301,131,170,1,1,367,166,130,170
81,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,65,301,79,222,1,1,405,170,130,170
52,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,73,301,147,154,1,1,430,181,130,170
99,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,41,301,41,260,0.2,1,301,144,131,169
100,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,61,301,220,81,1,1,296,153,131,169
3,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,63,301,200,101,1,1,330,165,131,169
47,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,50,301,279,22,0.1666666667,1,464,169,131,169
91,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,74,301,97,204,1,0.5,514,179,131,169
21,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,76,301,189,112,1,1,724,215,131,169
5,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,75,301,229,72,0.5,0.5,595,236,131,169
28,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,59,301,212,89,0.5,1,376,167,132,168
8,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,71,301,292,9,0.5,0.3333333333,627,174,132,168
40,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,86,301,148,153,0.25,0.3333333333,436,177,132,168
48,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,57,301,284,17,0.5,1,376,179,132,168
7,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,66,301,219,82,1,0.1666666667,618,187,132,168
61,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,52,301,117,184,1,1,560,193,132,168
89,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,71,301,169,132,1,0.5,376,195,132,168
82,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,87,301,56,245,1,1,638,231,132,168
33,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,55,301,74,227,1,0.3333333333,303,156,133,167
50,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,62,301,77,224,0.0588235294,1,350,157,133,167
18,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,74,301,191,110,1,1,355,166,133,167
73,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,69,301,70,231,0.1428571429,1,473,184,133,167
39,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,59,301,39,262,1,1,1101,352,133,167
44,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,46,301,131,170,0.5,1,318,147,134,166
22,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,51,301,123,178,1,0.5,314,153,134,166
70,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,56,301,144,157,1,0.5,353,198,134,166
41,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,50,301,225,76,0.5,1,348,159,135,165
