BehaviorSpace results (NetLogo 5.3),,,,,,,,,,,,,,,,,
untrust01.nlogo,,,,,,,,,,,,,,,,,
experiment2_distrust10sw_lazy,,,,,,,,,,,,,,,,,
08/19/2016 14:05:37:025 +0100,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,
0,30,0,31,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
[run number],_log,discovery_type,_exportMovie,proportionSkeptic,_network_type,_nodes,confirmationSkeptic,[step],count turtles,count turtles with [ p? ],count turtles with [ _p? ],[ranking] of turtle discoverP,[ranking] of turtle discoverNotP,sum [costsTrust] of turtles,sum [costsDisTrust] of turtles,count links with [color = yellow],count links with [color = green]
62,true,"""random""",false,10,"""small-world""",300,95,93,301,233,68,1,0.5,715,452,222,78
63,true,"""random""",false,10,"""small-world""",300,95,71,301,0,301,1,0.5,36,273,271,29
64,true,"""random""",false,10,"""small-world""",300,95,214,301,219,82,0.1666666667,1,1042,571,201,99
65,true,"""random""",false,10,"""small-world""",300,95,81,301,223,78,1,1,308,375,243,57
66,true,"""random""",false,10,"""small-world""",300,95,81,301,268,33,0.5,0.5,406,151,130,170
67,true,"""random""",false,10,"""small-world""",300,95,55,301,105,196,1,1,172,325,259,41
68,true,"""random""",false,10,"""small-world""",300,95,85,301,254,47,0.5,1,728,453,231,69
69,true,"""random""",false,10,"""small-world""",300,95,185,301,147,154,0.5,1,1350,647,181,119
70,true,"""random""",false,10,"""small-world""",300,95,53,301,173,128,1,0.25,183,334,263,37
71,true,"""random""",false,10,"""small-world""",300,95,55,301,2,299,1,0.25,504,167,134,166
72,true,"""random""",false,10,"""small-world""",300,95,85,301,201,100,0.25,0.25,593,170,119,181
73,true,"""random""",false,10,"""small-world""",300,95,72,301,238,63,1,1,310,345,230,70
74,true,"""random""",false,10,"""small-world""",300,95,157,301,224,77,1,1,862,511,211,89
75,true,"""random""",false,10,"""small-world""",300,95,61,301,189,112,1,1,638,189,121,179
76,true,"""random""",false,10,"""small-world""",300,95,62,301,57,244,1,1,207,326,261,39
77,true,"""random""",false,10,"""small-world""",300,95,214,301,142,159,0.5,0.25,1444,675,183,117
78,true,"""random""",false,10,"""small-world""",300,95,74,301,98,203,1,1,451,404,246,54
79,true,"""random""",false,10,"""small-world""",300,95,71,301,55,246,1,1,207,320,245,55
80,true,"""random""",false,10,"""small-world""",300,95,89,301,160,141,1,1,1123,212,109,191
81,true,"""random""",false,10,"""small-world""",300,95,55,301,55,246,0.3333333333,1,296,369,264,36
82,true,"""random""",false,10,"""small-world""",300,95,146,301,150,151,0.0153846154,1,760,475,208,92
83,true,"""random""",false,10,"""small-world""",300,95,81,301,86,215,1,1,291,354,250,50
84,true,"""random""",false,10,"""small-world""",300,95,48,301,242,59,1,0.3333333333,393,360,231,69
85,true,"""random""",false,10,"""small-world""",300,95,100,301,85,216,1,0.0714285714,289,368,254,46
86,true,"""random""",false,10,"""small-world""",300,95,43,301,245,56,1,1,400,373,237,63
87,true,"""random""",false,10,"""small-world""",300,95,45,301,24,277,1,1,311,148,129,171
88,true,"""random""",false,10,"""small-world""",300,95,57,301,89,212,1,1,541,156,128,172
89,true,"""random""",false,10,"""small-world""",300,95,83,301,146,155,1,1,743,456,244,56
90,true,"""random""",false,10,"""small-world""",300,95,238,301,183,118,1,0.1111111111,2927,1086,173,127
91,true,"""random""",false,10,"""small-world""",300,95,82,301,76,225,1,1,150,321,267,33
92,true,"""random""",false,10,"""small-world""",300,95,131,301,149,152,1,0.5,2029,306,97,203
93,true,"""random""",false,10,"""small-world""",300,95,50,301,145,156,0.5,1,398,363,225,75
94,true,"""random""",false,10,"""small-world""",300,95,50,301,156,145,1,1,195,326,252,48
95,true,"""random""",false,10,"""small-world""",300,95,87,301,118,183,1,1,729,484,237,63
96,true,"""random""",false,10,"""small-world""",300,95,79,301,230,71,0.1666666667,1,647,482,229,71
97,true,"""random""",false,10,"""small-world""",300,95,192,301,215,86,1,1,2297,864,161,139
98,true,"""random""",false,10,"""small-world""",300,95,46,301,151,150,0.3333333333,1,136,321,254,46
99,true,"""random""",false,10,"""small-world""",300,95,45,301,140,161,1,1,128,305,255,45
100,true,"""random""",false,10,"""small-world""",300,95,61,301,301,0,1,0.5,262,145,134,166
