BehaviorSpace results (NetLogo 5.3),,,,,,,,,,,,,,,,,
untrust01.nlogo,,,,,,,,,,,,,,,,,
experiment2b_distrust300sw_lazyproportion50_skepticskeptic,,,,,,,,,,,,,,,,,
08/19/2016 11:18:40:321 +0100,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,
0,30,0,31,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
[run number],_log,discovery_type,_exportMovie,proportionSkeptic,_network_type,_nodes,confirmationSkeptic,[step],count turtles,count turtles with [ p? ],count turtles with [ _p? ],[ranking] of turtle discoverP,[ranking] of turtle discoverNotP,sum [costsTrust] of turtles,sum [costsDisTrust] of turtles,count links with [color = yellow],count links with [color = green]
25,true,"""skepticP-skepticNotP""",false,50,"""small-world""",300,95,72,301,76,225,1,1,594,179,126,174
24,true,"""skepticP-skepticNotP""",false,50,"""small-world""",300,95,53,301,35,266,1,1,471,214,127,173
40,true,"""skepticP-skepticNotP""",false,50,"""small-world""",300,95,62,301,97,204,0.5,0.5,591,234,127,173
82,true,"""skepticP-skepticNotP""",false,50,"""small-world""",300,95,61,301,235,66,1,1,772,279,127,173
71,true,"""skepticP-skepticNotP""",false,50,"""small-world""",300,95,74,301,291,10,1,1,494,145,128,172
70,true,"""skepticP-skepticNotP""",false,50,"""small-world""",300,95,77,301,189,112,0.3333333333,1,527,154,128,172
3,true,"""skepticP-skepticNotP""",false,50,"""small-world""",300,95,65,301,60,241,1,1,527,172,128,172
76,true,"""skepticP-skepticNotP""",false,50,"""small-world""",300,95,53,301,59,242,0.5,0.1666666667,529,172,128,172
45,true,"""skepticP-skepticNotP""",false,50,"""small-world""",300,95,64,301,139,162,0.5,0.3333333333,527,180,128,172
91,true,"""skepticP-skepticNotP""",false,50,"""small-world""",300,95,94,301,249,52,0.5,0.3333333333,596,187,128,172
86,true,"""skepticP-skepticNotP""",false,50,"""small-world""",300,95,68,301,45,256,0.0588235294,1,526,191,129,171
75,true,"""skepticP-skepticNotP""",false,50,"""small-world""",300,95,48,301,223,78,1,1,340,151,130,170
87,true,"""skepticP-skepticNotP""",false,50,"""small-world""",300,95,60,301,270,31,0.3333333333,1,432,159,130,170
54,true,"""skepticP-skepticNotP""",false,50,"""small-world""",300,95,58,301,129,172,1,0.3333333333,390,163,131,169
22,true,"""skepticP-skepticNotP""",false,50,"""small-world""",300,95,47,301,51,250,1,1,357,194,131,169
89,true,"""skepticP-skepticNotP""",false,50,"""small-world""",300,95,45,301,106,195,0.5,0.3333333333,408,209,131,169
62,true,"""skepticP-skepticNotP""",false,50,"""small-world""",300,95,86,301,194,107,0.5,1,870,287,131,169
32,true,"""skepticP-skepticNotP""",false,50,"""small-world""",300,95,87,301,81,220,1,1,644,269,132,168
5,true,"""skepticP-skepticNotP""",false,50,"""small-world""",300,95,67,301,57,244,0.5,1,556,171,133,167
12,true,"""skepticP-skepticNotP""",false,50,"""small-world""",300,95,56,301,34,267,1,1,506,173,133,167
26,true,"""skepticP-skepticNotP""",false,50,"""small-world""",300,95,72,301,238,63,0.25,1,609,216,134,166
73,true,"""skepticP-skepticNotP""",false,50,"""small-world""",300,95,68,301,86,215,0.3333333333,1,543,230,136,164
