BehaviorSpace results (NetLogo 5.3),,,,,,,,,,,,,,,,,
untrust01.nlogo,,,,,,,,,,,,,,,,,
experimentdistrust300linear,,,,,,,,,,,,,,,,,
08/17/2016 16:55:00:231 +0100,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,
0,30,0,31,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
[run number],_log,discovery_type,_exportMovie,proportionSkeptic,_network_type,_nodes,confirmationSkeptic,[step],count turtles,count turtles with [ p? ],count turtles with [ _p? ],[ranking] of turtle discoverP,[ranking] of turtle discoverNotP,sum [costsTrust] of turtles,sum [costsDisTrust] of turtles,count links with [color = yellow],count links with [color = green]
64,true,"""random""",false,50,"""linear""",300,95,18,51,29,22,1,1,60,35,20,30
65,true,"""random""",false,50,"""linear""",300,95,23,51,0,51,0.5,1,50,27,25,25
66,true,"""random""",false,50,"""linear""",300,95,28,51,13,38,0.5,0.5,161,42,19,31
67,true,"""random""",false,50,"""linear""",300,95,31,51,26,25,1,1,253,68,12,38
68,true,"""random""",false,50,"""linear""",300,95,19,51,39,12,1,1,74,35,20,30
69,true,"""random""",false,50,"""linear""",300,95,103,300,109,191,294,87,143,155,156,143
70,true,"""random""",false,50,"""linear""",300,95,15,51,24,27,1,0.5,27,26,25,25
71,true,"""random""",false,50,"""linear""",300,95,24,51,12,39,1,1,114,33,18,32
72,true,"""random""",false,50,"""linear""",300,95,134,300,163,137,134,190,764,234,147,152
73,true,"""random""",false,50,"""linear""",300,95,175,300,192,108,125,62,955,277,154,145
74,true,"""random""",false,50,"""linear""",300,95,20,51,22,29,1,0.5,77,32,19,31
75,true,"""random""",false,50,"""linear""",300,95,19,51,12,39,0.5,1,78,31,20,30
76,true,"""random""",false,50,"""linear""",300,95,17,51,26,25,1,0.3333333333,57,28,20,30
77,true,"""random""",false,50,"""linear""",300,95,21,51,43,8,0.5,0.2,123,34,19,31
78,true,"""random""",false,50,"""linear""",300,95,187,300,120,180,189,186,1073,323,142,157
79,true,"""random""",false,50,"""linear""",300,95,205,300,194,106,95,60,1285,313,147,152
80,true,"""random""",false,50,"""linear""",300,95,228,300,252,48,72,56,1607,313,150,149
81,true,"""random""",false,50,"""linear""",300,95,124,300,121,179,211,124,586,212,147,152
82,true,"""random""",false,50,"""linear""",300,95,14,51,38,13,1,1,47,30,21,29
83,true,"""random""",false,50,"""linear""",300,95,119,300,140,160,181,119,615,255,150,149
84,true,"""random""",false,50,"""linear""",300,95,16,51,13,38,1,0.5,64,27,19,31
85,true,"""random""",false,50,"""linear""",300,95,167,300,69,231,28,132,853,293,148,151
86,true,"""random""",false,50,"""linear""",300,95,21,51,24,27,0.5,0.5,70,33,21,29
87,true,"""random""",false,50,"""linear""",300,95,109,300,111,189,269,108,270,172,150,149
88,true,"""random""",false,50,"""linear""",300,95,21,51,13,38,0.5,0.3333333333,118,33,21,29
89,true,"""random""",false,50,"""linear""",300,95,26,51,0,51,1,1,64,45,25,25
90,true,"""random""",false,50,"""linear""",300,95,21,51,15,36,1,1,114,35,19,31
91,true,"""random""",false,50,"""linear""",300,95,252,300,50,250,16,47,1275,301,148,151
92,true,"""random""",false,50,"""linear""",300,95,277,300,22,278,287,276,1455,345,150,149
93,true,"""random""",false,50,"""linear""",300,95,137,300,104,196,219,137,830,300,146,153
94,true,"""random""",false,50,"""linear""",300,95,27,51,47,4,1,1,163,38,23,27
95,true,"""random""",false,50,"""linear""",300,95,24,51,42,9,0.2,0.25,91,32,20,30
96,true,"""random""",false,50,"""linear""",300,95,35,51,0,51,0.1111111111,1,58,29,24,26
97,true,"""random""",false,50,"""linear""",300,95,16,51,28,23,0.3333333333,1,67,34,20,30
98,true,"""random""",false,50,"""linear""",300,95,91,300,147,153,243,62,144,154,155,144
99,true,"""random""",false,50,"""linear""",300,95,217,300,201,99,83,50,1367,341,145,154
100,true,"""random""",false,50,"""linear""",300,95,177,300,103,197,62,122,895,277,147,152
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,71.82,77.78
