"BehaviorSpace results (NetLogo 5.3)"
"untrust01.nlogo"
"experimentdistrust300sw"
"08/17/2016 17:04:51:810 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","30","0","31"
"[run number]","_log","discovery_type","_exportMovie","proportionSkeptic","_network_type","_nodes","confirmationSkeptic","[step]","count turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","sum [costsTrust] of turtles","sum [costsDisTrust] of turtles","count links with [color = yellow]","count links with [color = green]"
"66","true","""random""","false","50","""small-world""","300","95","69","301","12","289","0.125","0.5","752","251","138","162"
"65","true","""random""","false","50","""small-world""","300","95","77","301","262","39","1","0.5","1278","313","114","186"
"64","true","""random""","false","50","""small-world""","300","95","22","51","51","0","1","1","33","26","25","25"
"69","true","""random""","false","50","""small-world""","300","95","51","301","203","98","0.5","0.5","261","160","132","168"
"68","true","""random""","false","50","""small-world""","300","95","100","301","204","97","1","0.2","1077","246","118","182"
"70","true","""random""","false","50","""small-world""","300","95","24","51","30","21","1","1","125","50","18","32"
"73","true","""random""","false","50","""small-world""","300","95","25","51","1","50","1","1","107","28","23","27"
"67","true","""random""","false","50","""small-world""","300","95","66","301","97","204","1","1","609","198","128","172"
"75","true","""random""","false","50","""small-world""","300","95","43","301","144","157","0.25","1","229","166","142","158"
"71","true","""random""","false","50","""small-world""","300","95","106","301","178","123","0.3333333333333333","1","1502","341","114","186"
"74","true","""random""","false","50","""small-world""","300","95","20","51","33","18","0.5","1","67","38","21","29"
"76","true","""random""","false","50","""small-world""","300","95","57","301","60","241","0.5","0.5","658","201","124","176"
"72","true","""random""","false","50","""small-world""","300","95","78","301","74","227","1","1","543","198","132","168"
"77","true","""random""","false","50","""small-world""","300","95","66","301","19","282","0.1111111111111111","1","642","193","132","168"
"79","true","""random""","false","50","""small-world""","300","95","26","51","39","12","0.25","1","179","44","20","30"
"81","true","""random""","false","50","""small-world""","300","95","62","301","24","277","0.16666666666666666","1","392","189","133","167"
"82","true","""random""","false","50","""small-world""","300","95","20","51","10","41","1","0.25","135","40","18","32"
