BehaviorSpace results (NetLogo 5.3),,,,,,,,,,,,,,,,,
untrust01.nlogo,,,,,,,,,,,,,,,,,
experiment3_distrust100sw_lazy,,,,,,,,,,,,,,,,,
08/19/2016 14:10:23:674 +0100,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,
0,30,0,31,,,,,,,,,,,,,,
[run number],_log,discovery_type,_exportMovie,proportionSkeptic,_network_type,_nodes,confirmationSkeptic,[step],count turtles,count turtles with [ p? ],count turtles with [ _p? ],[ranking] of turtle discoverP,[ranking] of turtle discoverNotP,sum [costsTrust] of turtles,sum [costsDisTrust] of turtles,count links with [color = yellow],count links with [color = green]
63,true,"""random""",false,100,"""small-world""",300,95,54,301,32,269,0.5,1,529,0,0,300
65,true,"""random""",false,100,"""small-world""",300,95,46,301,225,76,0.3333333333,1,623,0,0,300
61,true,"""random""",false,100,"""small-world""",300,95,91,301,50,251,1,1,1575,284,117,183
66,true,"""random""",false,100,"""small-world""",300,95,49,301,268,33,0.5,1,503,0,0,300
67,true,"""random""",false,100,"""small-world""",300,95,46,301,77,224,1,1,601,0,0,300
69,true,"""random""",false,100,"""small-world""",300,95,48,301,211,90,1,0.5,507,0,0,300
64,true,"""random""",false,100,"""small-world""",300,95,113,301,164,137,1,0.5,1155,0,0,300
68,true,"""random""",false,100,"""small-world""",300,95,62,301,34,267,1,0.3333333333,388,153,129,171
70,true,"""random""",false,100,"""small-world""",300,95,50,301,263,38,0.5,1,417,0,0,300
73,true,"""random""",false,100,"""small-world""",300,95,95,301,170,131,1,1,661,160,123,177
74,true,"""random""",false,100,"""small-world""",300,95,45,301,219,82,1,0.2,531,0,0,300
72,true,"""random""",false,100,"""small-world""",300,95,124,301,166,135,1,1,1173,0,0,300
71,true,"""random""",false,100,"""small-world""",300,95,33,301,64,237,1,1,379,0,0,300
77,true,"""random""",false,100,"""small-world""",300,95,50,301,261,40,0.5,1,527,0,0,300
75,true,"""random""",false,100,"""small-world""",300,95,59,301,0,301,1,1,246,163,139,161
76,true,"""random""",false,100,"""small-world""",300,95,51,301,37,264,1,0.3333333333,521,0,0,300
78,true,"""random""",false,100,"""small-world""",300,95,47,301,138,163,1,1,837,0,0,300
81,true,"""random""",false,100,"""small-world""",300,95,83,301,66,235,1,1,1185,0,0,300
82,true,"""random""",false,100,"""small-world""",300,95,42,301,84,217,0.25,0.3333333333,429,0,0,300
79,true,"""random""",false,100,"""small-world""",300,95,82,301,227,74,1,0.5,525,0,0,300
83,true,"""random""",false,100,"""small-world""",300,95,63,301,47,254,1,0.3333333333,617,0,0,300
85,true,"""random""",false,100,"""small-world""",300,95,69,301,259,42,1,1,681,0,0,300
86,true,"""random""",false,100,"""small-world""",300,95,53,301,54,247,1,1,1133,0,0,300
80,true,"""random""",false,100,"""small-world""",300,95,69,301,226,75,0.5,0.5,529,158,118,182
84,true,"""random""",false,100,"""small-world""",300,95,50,301,255,46,0.2,0.5,543,0,0,300
87,true,"""random""",false,100,"""small-world""",300,95,67,301,98,203,1,1,527,0,0,300
88,true,"""random""",false,100,"""small-world""",300,95,92,301,179,122,0.5,0.1666666667,1565,0,0,300
92,true,"""random""",false,100,"""small-world""",300,95,39,301,29,272,1,1,379,0,0,300
93,true,"""random""",false,100,"""small-world""",300,95,56,301,136,165,1,0.5,671,0,0,300
90,true,"""random""",false,100,"""small-world""",300,95,40,301,210,91,0.5,1,377,0,0,300
89,true,"""random""",false,100,"""small-world""",300,95,70,301,33,268,1,0.3333333333,914,207,117,183
94,true,"""random""",false,100,"""small-world""",300,95,70,301,113,188,1,1,715,0,0,300
96,true,"""random""",false,100,"""small-world""",300,95,50,301,25,276,1,1,340,145,131,169
97,true,"""random""",false,100,"""small-world""",300,95,67,301,97,204,0.5,0.5,853,0,0,300
91,true,"""random""",false,100,"""small-world""",300,95,156,301,174,127,0.25,0.5,2139,0,0,300
98,true,"""random""",false,100,"""small-world""",300,95,45,301,127,174,1,0.5,386,161,126,174
99,true,"""random""",false,100,"""small-world""",300,95,60,301,160,141,0.3333333333,1,445,0,0,300
95,true,"""random""",false,100,"""small-world""",300,95,73,301,136,165,0.5,0.2,769,0,0,300
100,true,"""random""",false,100,"""small-world""",300,95,112,301,250,51,0.5,1,1215,0,0,300
