BehaviorSpace results (NetLogo 5.3),,,,,,,,,,,,,,,,,
untrust01.nlogo,,,,,,,,,,,,,,,,,
experimentdistrust300total,,,,,,,,,,,,,,,,,
08/17/2016 17:01:34:143 +0100,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,
0,30,0,31,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
[run number],_log,discovery_type,_exportMovie,proportionSkeptic,_network_type,_nodes,confirmationSkeptic,[step],count turtles,count turtles with [ p? ],count turtles with [ _p? ],[ranking] of turtle discoverP,[ranking] of turtle discoverNotP,sum [costsTrust] of turtles,sum [costsDisTrust] of turtles,count links with [color = yellow],count links with [color = green]
65,true,"""random""",false,50,"""total""",300,95,16,51,17,34,0.5,1,96,29,20,30
66,true,"""random""",false,50,"""total""",300,95,28,51,16,35,1,1,220,55,16,34
67,true,"""random""",false,50,"""total""",300,95,20,51,12,39,1,0.5,133,38,19,31
68,true,"""random""",false,50,"""total""",300,95,21,51,47,4,1,0.5,85,30,22,28
69,true,"""random""",false,50,"""total""",300,95,27,51,40,11,1,1,275,48,14,36
70,true,"""random""",false,50,"""total""",300,95,24,51,10,41,1,0.5,160,41,17,33
71,true,"""random""",false,50,"""total""",300,95,9,300,122,178,0,0,865,253,1323,4854
72,true,"""random""",false,50,"""total""",300,95,43,51,39,12,1,1,341,52,16,34
73,true,"""random""",false,50,"""total""",300,95,22,51,29,22,1,0.3333333333,100,31,21,29
74,true,"""random""",false,50,"""total""",300,95,34,51,43,8,1,0.2,273,48,22,28
75,true,"""random""",false,50,"""total""",300,95,20,51,28,23,1,1,41,30,25,25
76,true,"""random""",false,50,"""total""",300,95,18,51,22,29,1,0.5,81,30,20,30
77,true,"""random""",false,50,"""total""",300,95,10,300,150,150,0,0,1355,295,806,3234
78,true,"""random""",false,50,"""total""",300,95,10,300,123,177,0,0,1297,321,1280,5073
79,true,"""random""",false,50,"""total""",300,95,20,51,30,21,0.5,1,84,29,18,32
80,true,"""random""",false,50,"""total""",300,95,24,51,20,31,1,0.3333333333,181,38,17,33
81,true,"""random""",false,50,"""total""",300,95,21,51,12,39,0.5,1,153,40,21,29
82,true,"""random""",false,50,"""total""",300,95,10,300,158,142,0,0,1302,306,1477,5508
83,true,"""random""",false,50,"""total""",300,95,19,51,17,34,0.5,1,108,39,21,29
84,true,"""random""",false,50,"""total""",300,95,13,51,22,29,1,1,40,27,25,25
85,true,"""random""",false,50,"""total""",300,95,18,51,5,46,1,1,96,31,22,28
86,true,"""random""",false,50,"""total""",300,95,17,51,29,22,0.1111111111,0.5,60,35,23,27
87,true,"""random""",false,50,"""total""",300,95,9,300,101,199,0,0,779,235,1436,5482
88,true,"""random""",false,50,"""total""",300,95,20,51,33,18,1,1,66,33,22,28
89,true,"""random""",false,50,"""total""",300,95,17,51,25,26,0.5,1,67,34,24,26
90,true,"""random""",false,50,"""total""",300,95,9,300,192,108,0,0,775,233,1597,5932
91,true,"""random""",false,50,"""total""",300,95,9,300,173,127,0,0,830,242,1566,5920
92,true,"""random""",false,50,"""total""",300,95,23,51,43,8,0.25,1,118,31,19,31
93,true,"""random""",false,50,"""total""",300,95,18,51,8,43,0.5,1,74,31,23,27
94,true,"""random""",false,50,"""total""",300,95,21,51,10,41,1,1,73,38,24,26
95,true,"""random""",false,50,"""total""",300,95,24,51,28,23,0.1111111111,1,181,46,17,33
96,true,"""random""",false,50,"""total""",300,95,30,51,19,32,1,1,134,47,19,31
97,true,"""random""",false,50,"""total""",300,95,10,300,139,161,0,0,1362,334,1728,6569
98,true,"""random""",false,50,"""total""",300,95,9,300,131,169,0,0,821,233,1719,6371
99,true,"""random""",false,50,"""total""",300,95,34,51,24,27,0.5,1,194,43,19,31
100,true,"""random""",false,50,"""total""",300,95,9,300,128,172,0,0,897,235,951,3732
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,385.11,103.1,264.13,971.44
